영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,좌표정보x(epsg5174),y(epsg5174)
세종(조치원),메가박스,영업,대전/충청/세종,세종시,조치원읍,세종특별자치시 조치원읍 교리 24-1 4층~6층,세종특별자치시 조치원읍 새내로 122 (4층~6층),226602.7941,344698.3587
세종나성,메가박스,영업,대전/충청/세종,세종시,연기군,세종특별자치시 나성동 821 세종가로수길 5층,"세종특별자치시 나성로 38, 세종가로수길 5층 (나성동)",223564.3404,331420.8272
세종청사,메가박스,영업,대전/충청/세종,세종시,어진동,세종특별자치시 어진동 510 엠브릿지,"세종특별자치시 도움3로 19, 엠브릿지 지하 1~2층 (어진동)",223042.6263,333554.4079
오창,메가박스,영업,대전/충청/세종,충청북도,청주시,충청북도 청주시 청원구 오창읍 양청리 820-1,"충청북도 청주시 청원구 오창읍 중심상업1로 8-9, 메가시티 3~4층",238220.1861,356859.2669
진천,메가박스,영업,대전/충청/세종,충청북도,진천군,충청북도 진천군 진천읍 읍내리 652번지,충청북도 진천군 진천읍 중앙북1길 3 진천터미널,239121.7213,373252.2127
천안,메가박스,영업,대전/충청/세종,충청남도,천안시,충청남도 천안시 서북구 두정동 68-1 센트하임 4층,"충청남도 천안시 서북구 1공단1길 52, 4층 (두정동, 센트하임프라자)",213076.3258,370130.3313
청주사창,메가박스,영업,대전/충청/세종,충청북도,청주시,충청북도 청주시 서원구 사창동 488 4층,"충청북도 청주시 서원구 1순환로 682, 4층 (사창동)",241110.6778,348029.6701
청주성안길,메가박스,영업,대전/충청/세종,충청북도,청주시,충청북도 청주시 상당구 북문로1가 170-1 쥬네쓰,"충청북도 청주시 상당구 상당로81번길 33 (북문로1가, 쥬네쓰)",243582.088,348339.2185
청주터미널,메가박스,영업,대전/충청/세종,충청북도,청주시,충청북도 청주시 흥덕구 가경동 1416 6~7층 청주센트럴시티(터미널복합),"충청북도 청주시 흥덕구 2순환로 1225, 청주센트럴시티(터미널복합) 6~7층 (가경동)",238449.4334,347396.6985
충주연수,메가박스,영업,대전/충청/세종,충청북도,충주시,충청북도 충주시 연수동 1325,충청북도 충주시 번영대로 211 (연수동),283717.053,387731.9209
홍성내포,메가박스,영업,대전/충청/세종,충청남도,홍성군,충청남도 홍성군 홍북읍 신경리 555번지,충청남도 홍성군 홍북읍 청사로174번길 2 (한승갤러리),171227.2017,350955.2392
경북도청,메가박스,영업,부산/대구/경상,경상북도,예천군,경상북도 예천군 호명면 산합리 1430 경북빌딩,"경상북도 예천군 호명면 새움3로 70, 경북빌딩 3층",333556.873,342623.9014
경산하양,메가박스,영업,부산/대구/경상,경상북도,경산시,경상북도 경산시 하양읍 금락리 607번지 2층,"경상북도 경산시 하양읍 대경로 765, 2층",364510.4316,269692.9448
구미강동,메가박스,영업,부산/대구/경상,경상북도,구미시,경상북도 구미시 진평동 1023-1,경상북도 구미시 인동가산로 14 (진평동),327591.8409,290553.6791
김천,메가박스,영업,부산/대구/경상,경상북도,김천시,경상북도 김천시 평화동 245-82번지,경상북도 김천시 김천로 74 (평화동),299922.1736,292204.4264
남포항,메가박스,영업,부산/대구/경상,경상북도,포항시,"경상북도 포항시 남구 오천읍 하원로47번길9, (원리) 1층",경북 포항시 남구 오천읍 원리 1134,416791.6,277886.4
대구세븐밸리(칠곡),메가박스,영업,부산/대구/경상,대구시,북구,대구광역시 북구 동천동 894-1 세븐밸리,"대구광역시 북구 동암로 90, 세븐밸리 6층 (동천동)",340718.2536,272659.9751
대구신세계(동대구),메가박스,영업,부산/대구/경상,대구시,북구,대구광역시 동구 신천동 1506,"대구광역시 동구 동부로 149 (신천동, 동대구역복합환승센터)",347037.242,265407.4043
대구이시아,메가박스,영업,부산/대구/경상,대구시,동구,대구광역시 동구 봉무동 1548,대구광역시 동구 팔공로49길 51 (봉무동),347543.7468,270181.3331
대구프리미엄만경관,메가박스,영업,부산/대구/경상,대구시,중구,대구광역시 중구 종로1가 29-4,대구광역시 중구 국채보상로 547 (종로1가),343571.9657,264582.7763
덕천,메가박스,영업,부산/대구/경상,부산시,북구,부산광역시 북구 덕천동 398-2,부산광역시 북구 만덕대로 23 (덕천동),382731.2102,192059.7456
마산(경남대),메가박스,영업,부산/대구/경상,경상남도,창원시,경상남도 창원시 마산합포구 해운동 68 유로스퀘어,"경상남도 창원시 마산합포구 해안대로 51, 유로스퀘어 6층 (해운동)",342378.5799,188083.1591
부산극장,메가박스,영업,부산/대구/경상,부산시,중구,부산광역시 중구 남포동5가 18-1,부산광역시 중구 비프광장로 36 (남포동5가),384919.4108,179609.2078
부산대,메가박스,영업,부산/대구/경상,부산시,금정구,부산광역시 금정구 장전동 292-4 라퓨타아일랜드,"부산광역시 금정구 장전로12번길 55 (장전동, 라퓨타아일랜드)",390026.7695,194312.7237
북대구(칠곡),메가박스,영업,부산/대구/경상,대구시,북구,대구광역시 북구 동천동 895-2,대구광역시 북구 동암로 100,340843.6291,272656.8378
사상,메가박스,영업,부산/대구/경상,부산시,사상구,부산광역시 사상구 괘법동 533-1,부산광역시 사상구 사상로 201 (괘법동),380509.7831,186704.0673
삼천포,메가박스,영업,부산/대구/경상,경상남도,사천시,경상남도 사천시 실안동 1062번지,경상남도 사천시 해안관광로 109-10 (실안동),294701.35,161674.8073
서면대한,메가박스,영업,부산/대구/경상,부산시,부산진구,부산광역시 부산진구 부전동 199,"부산광역시 부산진구 중앙대로692번길 16(부전동), 대한프라자 3층",387725,186147.7
양산,메가박스,영업,부산/대구/경상,경상남도,양산시,경상남도 양산시 물금읍 가촌리 1292 라피에스타,"경상남도 양산시 물금읍 증산역로 177, 라피에스타 6,7층",382680.0115,203015.6519
양산증산,메가박스,영업,부산/대구/경상,경상남도,양산시,경상남도 양산시 물금읍 가촌리 1292 라피에스타,"경상남도 양산시 물금읍 증산역로 177, 라피에스타 6,7층",382680.0115,203015.6519
울산,메가박스,영업,부산/대구/경상,울산시,중구,울산광역시 중구 성남동 251-8,울산광역시 중구 젊음의거리 73 (성남동),410395.7665,230768.5378
정관,메가박스,휴관,부산/대구/경상,부산시,기장군,부산광역시 기장군 정관읍 매학리 777-1번지,"부산광역시 기장군 정관읍 정관6로 39, 7층",398025.7114,204401.6914
진주(중안),메가박스,영업,부산/대구/경상,경상남도,진주시,"경상남도 진주시 중안동 12-13 씨네피아9관(8,9층)",경상남도 진주시 진양호로 521 (중안동),298526.704,188715.2839
창원,메가박스,영업,부산/대구/경상,경상남도,창원시,경상남도 창원시 성산구 중앙동 99-1 메가플렉스,경상남도 창원시 성산구 용지로 58 (중앙동),352494.9464,192629.5837
창원내서,메가박스,영업,부산/대구/경상,경상남도,창원시,경상남도 창원시 마산회원구 내서읍 중리 1043-1,"경상남도 창원시 마산회원구 내서읍 광려천서로 81, ISC 10-11층 10층",337420.75,195460.1868
포항,메가박스,영업,부산/대구/경상,경상북도,포항시,경상북도 포항시 남구 상도동 582 밸류플러스 7층,경상북도 포항시 남구 중흥로 77 (상도동),411699.7165,281700.6209
해운대(장산),메가박스,영업,부산/대구/경상,부산시,해운대구,부산광역시 해운대구 좌동 1467-4 지팝건축물,"부산광역시 해운대구 해운대로 813, 지팝건축물 8층 (좌동)",398269.0515,187874.7781
화명,메가박스,영업,부산/대구/경상,부산시,북구,부산광역시 북구 화명동 2275-1,부산광역시 북구 화명대로 16 (화명동),382882.2789,194681.151
광주상무,메가박스,영업,광주/전라,광주시,서구 ,광주광역시 서구 치평동 1218-1,광주광역시 서구 시청로 67 (치평동),186350.8164,183915.8701
광주하남,메가박스,영업,광주/전라,광주시,광산구,광주광역시 광산구 우산동 1587-1번지,광주광역시 광산구 풍영철길로 15 (우산동),182753.5594,184879.9299
