title,titleEtc,prodYear,directorNm,actorNm,nation,company,plot,runtime,rating,genre,kmdbUrl,type,use,repRlsDate,releaseDates,isReRelease,posters,stlls,vodUrl,ratingNo,ratingGrade,modDate,regDate
 베르메르 : 위대한 전시회,"베르메르:위대한전시회^베르메르 : 위대한 전시회^베르메르위대한전시회, 베르메르 위대한 전시회, 베르메르: 위대한 전시회^Vermeer: The Greatest Exhibition",2023,데이비드 비커스태프,로버트 린제이,영국,Exhibition on Screen (EOS),"암스테르담 국립미술관과 마우리츠하위스 미술관이 기획한 단 한 번뿐인 위대한 전시.단 37점의 작품만을 남기고 사라진 델프트의 거장, 요하네스 베르메르의 걸작들이 한자리에 모였다.그의 붓끝에서 시작된 이야기는 어떻게 오늘날까지 수많은 이들의 마음을 움직이는가.빛과 고요로 기억되는 화가, 베르메르그가 남긴 17세기의 풍경을오늘, 다시 바라본다.",97,전체관람가,문화,https://www.kmdb.or.kr/db/kor/detail/movie/B/11702,다큐멘터리,극장용,20250917,20250917,False,http://file.koreafilm.or.kr/thm/02/99/19/12/tn_DPB001873.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/45/tn_DST912513.jpg,,2025-MF00327,전체관람가,20250826,20250217
 컴패니언,컴패니언^Companion,2024,드류 행콕,"소피 대처, 잭 퀘이드, 루카스 게이지, 메건 수리, 하비 길렌, 루퍼트 프렌드",미국,워너브러더스,서로에게 딱 맞는 커플 ‘아이리스’와 ‘조시’는 친구들과 함께 호숫가의 별장으로 호화로운 휴가를 떠난다.하지만 그곳에는 충격적인 사건이 기다리고 있는데…,97,청소년관람불가,스릴러,https://www.kmdb.or.kr/db/kor/detail/movie/F/62781,극영화,극장용,20250319,20250319,False,http://file.koreafilm.or.kr/thm/02/99/18/77/tn_DPF030795.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/70/64/tn_DST880437.jpg,https://www.kmdb.or.kr/trailer/trailerPlayPop?pFileNm=MK062416_P02.mp4,2025-MF00006,청소년관람불가,20250227,20250115
 엘리: 몬스터 패밀리,"엘리:몬스터패밀리^엘리: 몬스터 패밀리^Elli!^엘리몬스터패밀리, 엘리 몬스터 패밀리, 엘리 : 몬스터 패밀리^Elli and Her Monster Team^Elli and the Ghostly Ghost Train",2024,"피엣 드 라이커, 예스퍼 묄러","막스 기르만, 올리버 칼코페, 산티아고 지에스머, 달리아 슈미트-포스",독일,EVA GRUBITS," 함께라면 불가능은 없어! 외딴 저택에서 삼촌 '챔벌린'과 단둘이 살던 유령 소녀 '엘리'어느 날, 로봇 군단을 거느리는 '퀀트릭스'가 몬스터들을 모두 잡아가기 시작했다는 소식을 들은 '챔벌린'은 '엘리'를 안전한 곳으로 숨기고 본인은 납치되고 만다.이에 '엘리'는 삼촌을 구하기 위해 난생처음 바깥 세상으로 나서고 도착한 대도시에서 슈퍼스타 털복숭이, 채식주의 드라큘라, 다정한 프랑켄슈타인까지 몬스터 친구들을 만나 삼촌을 구하기 위한 여정을 함께하게 되는데...유령소녀 '엘리'   반전매력 몬스터 친구들의 스펙터클 시티 어드벤처가 시작된다!",88,전체관람가,"어드벤처,판타지",https://www.kmdb.or.kr/db/kor/detail/movie/F/62780,애니메이션,극장용,20250214,20250214,False,http://file.koreafilm.or.kr/thm/02/99/18/71/tn_DPF030604.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/70/29/tn_DST877574.jpg,,2025-MF00007,전체관람가,20250115,20250115
 미국 대침몰,미국대침몰^미국 대침몰^America Is Sinking,2023,마리오 N. 보나신,"조니 파카, 마이클 파레, 린지 마리 윌슨, 폴 로간, 첼시 길슨",미국,The Asylum,"빙하가 녹으면서 극심한 홍수가 발생하고, 급격한 침식으로 지진과 대규모 쓰나미를 일으키게 된다.자연 재해의 상황 속 북미 대륙이 가라앉고 있는 가운데 과학자들은 물의 균형을 맞추기 위해 싱크홀을 만드는 데 시간과의 사투를 벌이고 있다.",84,12세이상관람가,"액션,SF,어드벤처",https://www.kmdb.or.kr/db/kor/detail/movie/F/62777,극영화,극장용,20250220,20250220,False,,,,2024-MF03451,12세이상관람가,20250304,20250115
 성 베드로 대성당과 로마의 교황청 대성당들,"성베드로대성당과로마의교황청대성당들^성 베드로 대성당과 로마의 교황청 대성당들^St. Peter’s and the Papal Basilicas of Rome, St. Peter's and the Papal Basilicas of Rome 3D, 성베드로 대성당과 로마의 교황청 대성당들, 성 베드로 대성당과 로마의 교황청대성당들, 성 베드로 대성당과 로마의교황...",2016,루카 비오토,"파올로 포르토게지, 안토니오 파올루치, 미콜 포르티, 클라우디오 스트리나티, 아드리아노 지안니니",이탈리아,스카이,"25년만에 돌아오는 은총과 순례의 성년(聖年)을 의미하는 2025년 '희년'을 맞아, 전 세계 여행자들이 가장 많이 방문하는 25개 여행 목적지 중 하나인 바티칸의 성 베드로 대성당, 라테라노 성 요한 대성당, 산타 마리아 마조레 대성당, 성 밖 성 바오로 대성당 등 해마다 수천만명의 여행자들과 순례자들이 방문하는 로마의 교황청 소속 4대 대성당과 그곳에 간직되어 있는 위대한 예술 작품들을 안토니오 파올루치(바티칸 박물관 관장), 파올로 포르토게지(건축가), 클라우디오 스트리나티(미술사가), 미콜 포르티(바티칸 박물관 현대 미술 컬렉션 책임자) 등 4명의 세계적인 전문가들의 해설과 함께 미리 볼 절호의 기회!",95,전체관람가,"문화,역사",https://www.kmdb.or.kr/db/kor/detail/movie/B/11673,다큐멘터리,극장용,20250115,20250115,False,http://file.koreafilm.or.kr/thm/02/99/18/70/tn_DPB001762.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/70/22/tn_DST876452.jpg,,2024-MF03325,전체관람가,20250107,20250107
 3일,"3일^삼일, 3 Days, 3Days^Three Days (3il)",2024,김순수,"유승호, 김동욱, 서정연",대한민국,㈜26km FILM,어머니 주희의 죽음을 마주하게 된 태하.어머니의 유언장에 한 남자의 번호가 적혀 있다.남자의 정체는 장례지도사 하진.하진은 어머니가 자신의 장례식을 1년 전부터 미리 준비해 두었다는 믿을 수 없는 사실을 태하에게 전한다.그렇게 두 남자는 어머니가 원했던 장례식을 시작하게 되는데...,27,전체관람가,드라마,https://www.kmdb.or.kr/db/kor/detail/movie/K/38250,극영화,극장용,20250319,20250319,False,http://file.koreafilm.or.kr/thm/02/99/18/74/tn_DPK023463.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/70/65/tn_DST880598.jpg,,2025-MF00456,전체관람가,20250305,20250219
 브리짓 존스의 일기: 뉴 챕터,"브리짓존스의일기:뉴챕터^브리짓 존스의 일기: 뉴 챕터^브리짓존스의일기뉴챕터, 브리짓 존스의 일기 뉴 챕터, 브리짓 존스의 일기 : 뉴 챕터, 브리짓 존스의 일기: 뉴챕터^Bridget Jones: Mad About the Boy",2025,마이클 모리스,"르네 젤위거, 휴 그랜트, 엠마 톰슨, 치웨텔 에지오포, 레오 우달","영국,프랑스,미국",유니버설 픽쳐스,"4년 전, 사랑하는 남편 ‘마크 다아시’를 잃고 싱글맘으로 살아가던 ‘브리짓 존스’정체된 그녀의 삶을 걱정하는 주변인들의 권유와 압박으로 데이팅 앱에서 매력적인 연하남과 만나 오랜만에 설레는 사랑의 감정을 되찾는 한편 방송국에도 복직해 일과 가정, 로맨스를 병행하게 된다.고군분투하며 최선을 다하지만 연하남과의 연애도, 직장 생활도, 아이들과의 관계도 모든 것이 쉽지 않은 상황 속에서 ‘브리짓’은 무엇이 정말 자신을 위한 삶인지 고민하게 되는데…누군가의 아내, 누군가의 엄마가 아닌 다시 브리짓!",125,15세이상관람가,"코메디,멜로/로맨스,드라마",https://www.kmdb.or.kr/db/kor/detail/movie/F/63024,극영화,극장용,20250416,20250416,False,http://file.koreafilm.or.kr/thm/02/99/18/83/tn_DPF030894.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/71/06/tn_DST883698.jpg,,2025-MF00269,15세이상관람가,20250313,20250207
 장흥1950: 마을로 간 전쟁,"장흥1950:마을로간전쟁^장흥1950: 마을로 간 전쟁^장흥1950:마을로 간 전쟁, 장흥1950마을로간전쟁, 장흥 1950: 마을로 간 전쟁, 장흥1950 마을로 간 전쟁, 장흥1950 : 마을로 간 전쟁, 장흥 1950: 마을로 간 전쟁, 장흥1950: 마을로간전쟁, 장흥 1950 마을로 간 전쟁^(Jangheung1950: maeullo gan jeo...",2025,구자환,"위복환, 조계룡",대한민국,레드무비,"국가는 국민을 지키지도 못했고 보호하지도 않았다 레드툼 ,  해원 ,  태안  구자환 감독의 한국전쟁 전후 민간인학살 다큐멘터리 영화 시리즈 마지막 편",88,15세이상관람가,"사회,역사",https://www.kmdb.or.kr/db/kor/detail/movie/A/13239,다큐멘터리,극장용,20250402,20250402,False,http://file.koreafilm.or.kr/thm/02/99/18/72/tn_DPA002115.jpg,,,2025-MF00309,15세이상관람가,20250214,20250205
 고독한 미식가 더 무비,"고독한미식가더무비^고독한 미식가 더 무비^劇映画 孤独のグルメ^고독한미식가 더 무비, 고독한 미식가 더무비, 고독한 미식가더무비, 고독한미식가 더무비^The Solitary Gourmet",2025,마츠시게 유타카,"마츠시게 유타카, 우치다 유키, 이소무라 하야토, 무라타 다케히로, 유재명, 시오미 산세이, 안, 오다기리 죠",일본,TV Tokyo,"우리들의 밥친구이자 프로 혼밥러 고로 씨 인생 최대 위기 발발!옛 연인의 딸에게 연락을 받고 파리에 도착한 이노가시라 고로(마츠시게 유타카)는 어린 시절 먹었던 국물을 꼭 다시 맛보고 싶다는 노인의 황당한 부탁을 들어주기로 한다.고로 씨는 '잇짱지루'라 불리는 그 국물의 정체를 찾아 외딴섬으로 향하던 중 폭풍을 만나 한국의 이름 모를 섬으로 떠밀려와 불법 입국 소동까지 겪는다.이토록 험난한 모험 속에서 우연히 만나게 된 여러 사람들의 도움을 받으며 점차 궁극의 국물에 도달하게 되는데......프랑스 파리에서 시작해 일본의 외딴섬, 한국 남풍도 및 거제도를 찍고, 다시 일본 도쿄로!오로지 궁극의 국물을 위한 고로 씨의 맛있는 모험이 펼쳐진다!",110,전체관람가,"드라마,코메디",https://www.kmdb.or.kr/db/kor/detail/movie/F/62930,극영화,극장용,20250319,20250319,False,http://file.koreafilm.or.kr/thm/02/99/18/80/tn_DPF030817.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/70/58/tn_DST880018.jpg,,2025-MF00292,전체관람가,20250717,20250122
 일대무사,일대무사^일대 무사^100 Yards,2023,"서호봉, 서준봉","향좌, 안지걸, 곽벽정, 이원, 케빈 리",중국,Tianjin Film Studio,"전설적인 무술가 ‘셴’ 마스터는 죽음을 앞두고 최고의 제자인 ‘치취안’을 후계자로 지목한다.한편 자신에게 평범한 삶을 살라는 아버지 '센'의 뜻을 따를 수 없는 '선안'은 무술로 자신의 가치를 증명하기로 결심하고, '치취안'에게 최후의 대결을 신청한다.문파의 계승과 명예를 둘러싼 혈투치열한 싸움의 승자는 과연 누가 될 것인가?",109,12세이상관람가,"드라마,액션,무협",https://www.kmdb.or.kr/db/kor/detail/movie/F/64404,극영화,극장용,20250828,20250828,False,http://file.koreafilm.or.kr/thm/02/99/19/10/tn_DPF031701.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/74/46/tn_DST912621.jpg,,2025-MF02001,12세이상관람가,20250813,20250806
